,author_id,created_date,name,date,time,latitude,longitude,average_noise_level,average_light_intensity,wind_direction,wind_speed,cloud_cover,cloud_type,cloud_photo_id,visibility,traffic_count,temperature,humidity,collecting_photo_id,note_of_anomaly,air_pollution
17,0,2020-11-11T15:24:26.980Z,Eileen Manning,12/10/2020,15:30:00,-12.110656,-77.034835,55,76894,W,3,8,Stratus,,2,5,19,68,,,2
18,0,2020-11-11T01:09:07.259Z,Annia Buchanan,04/11/2020,15:22:00,-12.082758,-76.962323,50,970,NW,3,0,there were no clouds,,1,43,21,68,,,2
19,0,2020-11-11T01:04:16.905Z,Annia Buchanan,02/11/2020,15:38:00,-12.082758,-76.962323,51,949,NW,3,0,there were no clouds,,1,42,21,64,,,3
20,0,2020-11-11T00:57:17.421Z,Annia Buchanan,06/11/2020,15:23:00,-12.082758,-76.962323,49,1219,NW,2,1,cirrus,,1,47,20,67,,,4
21,0,2020-11-10T19:46:14.239Z,Denise,06/11/2020,15:30:00,-12.11646,-77.03454,49,6883,N,3,2,cumulus / altocumulus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=64243ef0-238d-11eb-8b5c-514aaf6a6ddf_1605038142.jpg,2,13,22,54,,,7
22,0,2020-11-10T14:52:14.157Z,Denise,06/11/2020,08:00:00,-12.11646,-77.03454,46,3211,NW,1,7,Stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=51d530c0-2364-11eb-a440-3de2aeb6d07c_1605020207.jpg,2,7,20,70,,,4
23,0,2020-11-10T13:33:11.973Z,Lucianna Bedoya,06/11/2020,15:30:00,-12.097023,-77.046892,60,5916,calm,1,2,altocumulus,,1,47,18,67,,,2
24,0,2020-11-10T13:17:13.582Z,Macarena Valdivia,21/10/2020,08:00:00,-12.102525,-77.039238,55,4636,NE,3,8,stratus,,3,15,18,79,,,
25,0,2020-11-10T13:11:57.269Z,Bianca Nolte,06/11/2020,08:00:00,-12.103219,-77.043356,57,3189,N,1,8,Nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=4f7d1850-2356-11eb-8d17-93e5b00f933e_1605014176.jpg,2,2,18,81,,,
26,0,2020-11-10T13:08:10.318Z,Bianca Nolte,04/11/2020,08:00:00,-12.103219,-77.043356,49,2266,N,2,8,Nimbostratus,,2,3,17,85,,,
27,0,2020-11-10T05:30:00.309Z,macarena valdivia,04/11/2020,15:30:00,-12.102838,-77.039238,56,3021,NW,2,8,altostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=c6e4a250-2315-11eb-a680-7fa39c65c203_1604986353.jpg,3,15,18,73,,,2
28,0,2020-11-10T05:15:06.729Z,macarena valdivia,23/10/2020,15:35:00,-12.102838,-77.039238,58,5797,E,1,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=b2472590-2313-11eb-bb5d-976c982ad298_1604985421.jpg,2,16,20,77,,,1
29,0,2020-11-10T05:11:58.821Z,macarena valdivia,23/11/2020,08:00:00,-12.102838,-77.039238,57,7164,NE,2,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=4246a950-2313-11eb-bb5d-976c982ad298_1604985234.jpg,2,14,15,75,,,
30,0,2020-11-10T05:04:45.605Z,macarena valdivia,21/10/2020,15:30:00,-12.102838,-77.039238,63,4662,E,4,4,altocumulus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=400f2550-2312-11eb-a0cd-c382ab93ec22_1604984964.jpg,2,15,19,73,,,3
31,0,2020-11-10T04:52:44.644Z,macarena valdivia ,16/10/2020,15:30:00,-12.102838,-77.039238,61,2209,N,2,5,cirrus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=92553a40-2310-11eb-b27c-5db1873acc5d_1604984289.jpg,2,20,21,79,,,2
32,0,2020-11-10T04:42:14.041Z,macarena valdivia,16/10/2020,08:00:00,-12.102838,-77.039238,55,2700,W,3,8,stratus,,2,12,17,76,,,
33,0,2020-11-10T03:47:36.744Z,Maria Eugenia Reiser ,06/11/2020,03:34:00,-12.962478,-76.140876,46,9238,N,4,5,cumulus,,1,0,21,82,,,3
34,0,2020-11-10T03:21:47.465Z,Denise,30/10/2020,15:30:00,-12.11646,-77.03454,47,3238,N,2,0,-,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=dd99cb90-2303-11eb-acb4-894311c29eac_1604978645.jpg,2,15,21,64,,,9
35,0,2020-11-09T22:52:03.983Z,Isabela de la Peña,06/11/2020,15:30:00,-12.104118,-77.052204,52,5476,NE,3,4,cyrus,,3,17,21,79,,,8
36,0,2020-11-09T22:45:10.172Z,Isabela de la Peña,06/11/2020,08:00:00,-12.104115,-77.052245,34,2785,NE,2,5,stratus,,3,7,18,78,,,7
37,0,2020-11-09T22:20:36.747Z,Isabela de la Peña,04/11/2020,15:30:00,-12.104114,-77.052275,41,4593,N,3,2,cyrus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=ca9d0db0-22d9-11eb-8132-ef6e1d9217a4_1604960616.jpg,1,14,21,78,,,4
38,0,2020-11-09T21:59:15.063Z,Isabela de la Peña,04/11/2020,08:00:00,-12.104114,-77.052275,32,3786,N,2,4,stratus,,3,8,17,78,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=ceab9870-22d6-11eb-be64-f56606063839_1604960229.jpg,,7
39,0,2020-11-09T19:45:23.720Z,Isabela de la Peña,02/11/2020,15:30:00,-12.104114,-77.052275,46,5643,NE,2,3,cyrus,,2,13,20,80,,,7
40,0,2020-11-09T19:44:15.505Z,Amalia Bedoya,06/11/2020,15:30:00,-12.108484,-77.031869,70,2400,SE,1,6,Stratus,,2,5,18,66,,Construction noise,13
41,0,2020-11-09T19:40:48.073Z,Isabela de la Peña,02/11/2020,08:00:00,-12.104114,-77.052275,38,3478,E,2,8,stratus,,4,6,17,76,,,6
42,0,2020-11-09T19:32:49.251Z,Denise,26/10/2020,15:30:00,-12.11646,-77.03454,43,2856,N,2,1,Cirrus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=59eaec20-22c2-11eb-8782-3558ec594499_1604950553.jpg,2,9,21,67,,,6
43,0,2020-11-09T17:37:36.257Z,Denise,04/11/2020,15:30:00,-12.11646,-77.03454,40,3424,NE,2,0,-,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=4173e710-22b2-11eb-be5a-f562a6b26449_1604943683.jpg,1,9,22,57,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=4173e710-22b2-11eb-be5a-f562a6b26449_1604943774.jpg,,7
44,0,2020-11-09T17:33:14.755Z,Denise,04/11/2020,08:00:00,-12.11646,-77.03454,43,2186,N,2,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=a595dd30-22b1-11eb-be5a-f562a6b26449_1604943364.jpg,2,12,18,82,,,
45,0,2020-11-08T18:00:21.190Z,Marina Bragagnini,06/11/2020,15:30:00,-12.104682,-77.053104,64,1241,N,2,1,cumulus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=449a3f50-21ec-11eb-b8df-cb43223bf516_1604877921.jpg,2,10,20,69,,"BETWEEN WALLS, PEOPLE WALKING AROUND IT ",10
46,0,2020-11-08T02:24:27.021Z,Francesca Ventura,06/11/2020,15:30:00,-12.099268,-77.045183,52,1433,SW,4,8,stratus,,2,83,25,52,,,8
47,0,2020-11-08T00:36:15.355Z,Kiara Chang,06/11/2020,15:17:00,-12.090299,-76.999116,64,8955,N,1,1,contrails,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=68c694b0-215a-11eb-aa2f-4926b974063c_1604795948.jpg,1,8,24,56,,,6
48,0,2020-11-08T00:32:41.405Z,Kiara Chang,06/11/2020,08:24:00,-12.090299,-76.999116,70,1463,calm,0,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=e94066d0-2159-11eb-aa2f-4926b974063c_1604795733.jpg,2,3,18,78,,,
49,0,2020-11-08T00:26:51.922Z,Kiara Chang,04/11/2020,15:25:00,-12.090299,-76.999116,65,8151,N,1,0,No clouds,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=18f18720-2159-11eb-aa2f-4926b974063c_1604795471.jpg,1,6,20,75,,,5
50,0,2020-11-08T00:17:31.231Z,Kiara Chang,04/11/2020,08:39:00,-12.090299,-76.999116,40,1770,calm,0,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=cabedef0-2157-11eb-aa2f-4926b974063c_1604795066.jpg,1,4,18,79,,,
51,0,2020-11-07T20:31:13.308Z,Natalia Davila,06/11/2020,15:30:00,-12.115267,-77.038522,50,1935,W,1,8,Stratus,,2,7,18,62,,,13
52,0,2020-11-07T04:16:00.500Z,Martina Bustamante,06/11/2020,08:00:00,-12.10532,-77.039663,56,75072,SW,2,8,Nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=e2986376-0272-4e5c-89a4-465840c7c338_1604722522.jpg,1,33,17,78,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=e2986376-0272-4e5c-89a4-465840c7c338_1604722545.jpg,,1
53,0,2020-11-07T00:26:17.320Z,Maria Fe Yzaga,06/11/2020,15:20:00,-12.077137,-76.962901,48,24522,E,1,2,cirrus,,1,43,21,57,,,2
54,0,2020-11-06T23:40:43.437Z,Eileen Manning,06/11/2020,15:30:00,-12.110523,-77.034875,53,42311,W,3,4,Cummulus and cirrus,,2,4,20,60,,,3
55,0,2020-11-06T23:38:45.084Z,Eileen Manning,06/11/2020,08:00:00,-12.110515,-77.034836,52,80244,SW,1,8,Stratus,,2,2,18,67,,,
56,0,2020-11-06T21:11:16.068Z,Vania Verastegui,06/11/2020,15:30:00,-12.104964,-77.035408,42,6767,NW,3,4,Cirrostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=7eb38be8-aa02-4011-9202-4d8da6f7a5f8_1604697049.jpg,2,1,23,57,,,4
57,0,2020-11-06T21:06:58.274Z,Andrea Parró,06/11/2020,15:30:00,-12.102973,-77.038161,62,5362,E,4,6,altostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=01c25420-2074-11eb-9355-a188cdcea053_1604696989.jpg,2,11,19,69,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=01c25420-2074-11eb-9355-a188cdcea053_1604697016.jpg,,3
58,0,2020-11-06T21:02:38.251Z,Doménica Ronceros,06/11/2020,15:30:00,-12.124376,-77.035883,47,12531,NW,1,3,Cumulus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=66c5f7b0-2073-11eb-a076-cd3e595954d6_1604696666.jpg,1,15,20,70,,,5
59,0,2020-11-06T20:47:37.921Z,Rafaela Cilloniz,06/11/2020,15:30:00,-12.11286,-77.042291,56,5611,SW,1,1,Stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=8d6c17ae-8161-4843-aeee-12f1ca53e8db_1604695573.jpg,1,17,11,72,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=8d6c17ae-8161-4843-aeee-12f1ca53e8db_1604695635.jpg,There was a construction which made a lot of noise,1
60,0,2020-11-06T14:59:39.811Z,Francesca Ventura,06/11/2020,08:30:00,-12.099268,-77.045183,54,1422,SW,4,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=b1cfbf30-2040-11eb-83e2-3933cddb07d6_1604674834.jpg,3,73,20,66,,,
61,0,2020-11-06T14:55:21.230Z,Marina Bragagnini,06/11/2020,09:00:00,-12.104968,-77.053081,50,2589,N,1,8,nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=17af6ae0-2040-11eb-b6b1-3923df7a609d_1604674975.jpg,3,15,19,76,,between walls,
62,0,2020-11-06T14:26:42.126Z,Maria Eugenia Reiser,06/11/2020,08:15:00,-12.962478,-76.140876,47,9735,SW,3,6,stratus,,1,0,19,78,,,
63,0,2020-11-06T14:26:11.118Z,almudena Urrutia,06/11/2020,08:15:00,-12.992265,-76.156564,47,9735,SW,3,6,stratus,,4,0,19,78,,,
64,0,2020-11-06T14:23:09.509Z,Maria Eugenia Reiser,04/11/2020,15:30:00,-12.962478,-76.140876,55,12837,S,4,1,cumulus,,1,0,24,70,,A cow started mooing so could affect noise level,2
65,0,2020-11-06T14:22:56.140Z,Almudena Urrutia,04/11/2020,15:35:00,-12.992265,-76.156564,55,12840,S,4,1,cumulus,,1,0,24,70,,a cow started to mooo so could affect the noise level,2
66,0,2020-11-06T14:20:27.144Z,Maria Eugenia Reiser,04/11/2020,08:14:00,-12.962478,-76.140876,45,8628,SW,2,7,stratus,,1,0,18,72,,,
67,0,2020-11-06T14:19:40.165Z,Almudena Urrutia,04/11/2020,08:15:00,-12.992265,-76.156564,45,8637,SW,2,7,stratus,,1,0,18,72,,,
68,0,2020-11-06T13:59:27.143Z,Amalia Bedoya,06/11/2020,08:58:00,-12.108522,-77.031926,74,2500,SE,2,7,Stratus,,3,7,17,85,,,
69,0,2020-11-06T13:53:27.644Z,Maria Fe Yzaga,06/11/2020,08:30:00,-12.077497,-76.963225,51,11170,SE,2,8,Nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=723729c0-2037-11eb-b3e9-7b0319a9bc38_1604670875.jpg,3,49,20,56,,,
70,0,2020-11-06T13:46:34.832Z,macarena valdivia,04/11/2020,03:30:00,-12.102384,-77.039497,56,2904,E,3,4,altostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=7c290d00-2036-11eb-8568-73e6dc8c0837_1604670839.jpg,2,15,18,74,,,4
71,0,2020-11-06T13:38:56.665Z,Macarena Valdivia,06/11/2020,07:57:00,-12.102259,-77.039245,51,3700,W,2,8,stratus,,2,11,16,81,,,
72,0,2020-11-06T13:34:48.571Z,Annia Buchanan,06/11/2020,08:03:00,-12.082768,-76.962355,54,343,NW,2,1,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=d7322cb0-2034-11eb-b3c1-e7e5a41a5cff_1604669835.jpg,3,34,18,82,,,
73,0,2020-11-06T13:29:29.808Z,Vania Verastegui,06/11/2020,08:01:00,-12.104942,-77.035459,46,6137,calm,1,8,Stratus,,2,0,20,74,,,
74,0,2020-11-06T13:19:53.734Z,Andrea Parró,06/11/2020,08:00:00,-12.102963,-77.038236,62,5361,E,2,8,stratus,,3,3,18,70,,,
75,0,2020-11-06T13:13:00.088Z,Lucianna Bedoya,06/11/2020,08:00:00,-12.09701,-77.046877,45,4257,calm,0,8,stratus,,3,13,19,73,,,
76,0,2020-11-06T13:07:46.248Z,Natalia Davila,06/11/2020,08:00:00,-12.115265,-77.038542,47,1986,W,1,8,Stratus,,2,7,18,79,,,
77,0,2020-11-06T13:06:17.502Z,Rafaela Cilloniz,06/11/2020,08:00:00,-12.112863,-77.042636,51,2868,calm,0,8,Nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=7cf01fe0-56f2-4628-af09-49ddd7ffec86_1604667918.jpg,1,7,9,83,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=7cf01fe0-56f2-4628-af09-49ddd7ffec86_1604667940.jpg,,
78,0,2020-11-06T13:04:42.266Z,Lucianna Bedoya,04/11/2020,16:00:00,-12.097039,-77.046892,52,8238,NE,1,4,altostratus,,2,39,18,67,,,2
79,0,2020-11-06T13:01:29.610Z,Doménica Ronceros,06/11/2020,08:00:00,-12.124376,-77.035883,55,5630,NW,1,8,Stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=2fb8eea0-2030-11eb-b0dc-d17f6fe86896_1604668054.jpg,2,13,19,79,,,
80,0,2020-11-05T22:03:59.460Z,Marina Bragagnini,04/11/2020,15:35:00,-12.104755,-77.052999,52,2173,NE,3,6,cirrostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=ce87fb30-1fb2-11eb-853a-ab7ff6d3db87_1604614244.jpg,3,7,21,57,,between walls,5
81,0,2020-11-05T21:57:28.606Z,Marina Bragagnini,04/11/2020,08:46:00,-12.104935,-77.052951,53,6492,N,2,8,nimbostratus,,3,5,20,72,,Surrounded by walls,
82,0,2020-11-05T02:47:30.048Z,Francesca Ventura,04/11/2020,15:30:00,-12.099268,-77.045183,52,1983,SW,3,8,stratus,,2,91,20,73,,,14
83,0,2020-11-05T02:13:44.781Z,Lucila Montagne,04/11/2020,15:30:00,-12.100588,-77.035695,46,29689,NE,1,5,cumulostratus,,1,14,21,66,,,3
84,0,2020-11-05T01:25:43.206Z,Martina Bustamante,04/11/2020,07:56:00,-12.105291,-77.039641,55,43944,SW,2,8,Nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=43d731c8-7637-45a2-81da-bbd5b4359092_1604539475.jpg,2,29,16,80,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=43d731c8-7637-45a2-81da-bbd5b4359092_1604539509.jpg,,2
85,0,2020-11-04T22:34:48.352Z,Rafaela Cilloniz,04/11/2020,15:30:00,-12.113349,-77.042433,54,6615,S,1,6,Cumulus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=d8a3fc70-9c6e-4357-8c17-810375c718e4_1604529203.jpg,1,15,12,66,,,2
86,0,2020-11-04T21:53:35.671Z,Natalia Davila,04/11/2020,15:50:00,-12.115267,-77.038531,58,1928,W,1,8,Stratus,,2,6,18,74,,,15
87,0,2020-11-04T21:39:12.368Z,Amalia Bedoya,04/11/2020,16:38:00,-12.108534,-77.031936,70,1500,E,2,7,Stratus,,3,6,19,73,,,12
88,0,2020-11-04T21:05:13.381Z,Eileen Manning,04/11/2020,15:30:00,-12.110567,-77.03482,51,72894,NW,3,4,Cummulus and cirrus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=6e696d50-1ee1-11eb-b50a-57edf95aed1a_1604524045.jpg,2,4,21,61,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=6e696d50-1ee1-11eb-b50a-57edf95aed1a_1604525290.jpg,,2
89,0,2020-11-04T20:59:23.246Z,Andrea Parró,04/11/2020,15:30:00,-12.102963,-77.038128,60,3717,E,3,4,altostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=9db6e9d0-1ee0-11eb-b3a9-1fa0bec9d127_1604523744.jpg,2,4,20,65,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=9db6e9d0-1ee0-11eb-b3a9-1fa0bec9d127_1604523840.jpg,,3
90,0,2020-11-04T20:44:01.024Z,Maria Fe Yzaga,04/11/2020,15:40:00,-12.077239,-76.962866,57,9599,NE,1,1,cirrus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=78072800-1ede-11eb-8093-4da79f3fc3fa_1604523001.jpg,1,44,25,58,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=78072800-1ede-11eb-8093-4da79f3fc3fa_1604523112.jpg,,3
91,0,2020-11-04T20:32:23.202Z,Annia Buchanan,04/11/2020,15:29:00,-12.082768,-76.962363,57,1050,NW,4,0,there were no clouds,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=d817f820-1edc-11eb-adc1-afe240566272_1604522082.jpg,3,58,22,66,,,5
92,0,2020-11-04T20:32:14.762Z,Mikaela Tannert,04/11/2020,15:30:00,-12.096596,-76.782992,39,23195,calm,1,0,None,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=0141acc6-b2dd-4de0-8c5b-eaf737d5b074_1604521898.jpg,1,19,23,90,,,0
93,0,2020-11-04T15:56:19.257Z,Annia Buchanan,04/11/2020,08:01:00,-12.082741,-76.96233,47,343,NW,1,1,Stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=47368a90-1eb6-11eb-8897-63028de8249b_1604505529.jpg,4,29,18,82,,,
94,0,2020-11-04T14:58:23.072Z,Francesca Ventura,04/11/2020,08:00:00,-12.099268,-77.045183,50,1855,SW,3,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=2f3ece00-1eae-11eb-9b67-074281a5575a_1604501984.jpg,3,82,19,67,,,
95,0,2020-11-04T14:53:21.684Z,Eileen Manning,04/11/2020,08:00:00,-12.110567,-77.034822,51,181951,W,2,8,Stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=7b9aa540-1ead-11eb-863e-893b5c85dd6b_1604501711.jpg,3,1,19,69,,,
96,0,2020-11-04T14:07:16.991Z,Macarena Vaaldivia,04/11/2020,08:12:00,-12.103484,-77.039486,58,4127,E,1,8,stratus,,2,16,16,77,,,
97,0,2020-11-04T13:53:26.366Z,Maria Fe Yzaga,04/11/2020,08:17:00,-12.077137,-76.962851,50,5728,S,2,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=1ca0a7e0-1ea5-11eb-968e-053f8111e873_1604498069.jpg,2,39,20,63,,Cars were stuck on traffic for a long time ,
98,0,2020-11-04T13:37:44.939Z,Lucianna Bedoya,04/11/2020,08:00:00,-12.097009,-77.047209,54,5027,E,2,8,stratus,,3,31,16,88,,,
99,0,2020-11-04T13:23:28.678Z,Andrea Parró,04/11/2020,08:00:00,-12.103536,-77.038302,58,3931,N,2,8,stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=ed1f3c60-1ea0-11eb-9371-bdf110e28c7e_1604496320.jpg,3,7,17,73,,,
100,0,2020-11-04T13:20:44.008Z,Lucila Montagne,04/11/2020,08:00:00,-12.100588,-77.035695,43,19882,NE,2,8,stratus,,2,3,16,93,,,
101,0,2020-11-04T13:18:46.286Z,Lucila Montagne,02/11/2020,15:30:00,-12.100588,-77.035695,42,45725,NE,2,3,cumulostratus,,1,11,22,47,,,4
102,0,2020-11-04T13:16:55.633Z,Lucila Montagne,02/11/2020,08:00:00,-12.100588,-77.035695,48,21746,NE,1,8,stratus,,2,6,17,91,,,
103,0,2020-11-04T13:13:18.474Z,Mikaela Tannert,04/11/2020,08:11:00,-12.096645,-76.783,44,6165,SW,3,8,Stratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=f477cb5d-9878-4672-907c-d86cdcbdb61e_1604495574.jpg,2,18,16,95,,,
104,0,2020-11-04T13:11:06.893Z,Amalia Bedoya,04/11/2020,08:10:00,-12.107733,-77.031079,74,1400,E,2,8,Stratus,,4,4,17,87,,,
105,0,2020-11-04T13:10:16.133Z,Rafaela Cilloniz,04/11/2020,08:00:00,-12.112916,-77.042693,64,2164,SW,1,8,Nimbostratus,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=5663b4d4-1c8f-458a-8a18-7a9ea1f72ef1_1604495310.jpg,1,9,8,94,https://five.epicollect.net/api/media/san-silvestre-geography-ia-2020?type=photo&format=entry_original&name=5663b4d4-1c8f-458a-8a18-7a9ea1f72ef1_1604495337.jpg,There was a grass mower that made a lot of noise.,
106,0,2020-11-04T13:07:22.008Z,Natalia Davila,04/11/2020,08:00:00,-12.115277,-77.03854,39,1805,W,1,8,Stratus,,2,2,17,84,,,
107,0,2020-11-04T13:04:39.899Z,Vania Verastegui,04/11/2020,08:00:00,-12.104954,-77.035261,49,3355,N,1,8,Stratus,,3,0,18,83,,,
